Food Item,Quantity,Total Calories
1 cup rice,,200
1/2 cup cabbage (leached) sabji,,50
1 cup rice,,200
1/2 cup bhindi (leached) sabji,,50
1 cup rice,,200
1/2 cup lauki sabji,,50
1 cup rice,,200
1/2 cup ridge gourd sabji,,50
1 cup rice,,200
1/2 cup capsicum (leached) sabji,,50
1 cup rice,,200
brinjal (leached) sabji,,50
1 cup rice,,200
1/2 cup ivy gourd sabji,,50
3 bajra roti,,150
lauki methi curry,,50
1/2 cup cucumber salad,,25
3 roti,,150
1/2 cup colocasia (arbi) curry,,50
1/2 cup cucumber salad,,25
3 jowar roti,,150
1/2 cup raw banana curry,,50
1/2 cup cucumber salad,,25
3 roti,,150
1/2 cup tinda curry,,50
1/2 cup cucumber salad,,25
3 bajra roti,,150
1/2 cup ridge gourd (thori) curry,,50
1/2 cup cucumber salad,,25
3 roti,,150
1/2 cup bhindi curry,,50
1/2 cup cucumber salad,,25
3 jowar roti,,150
1/2 cup cauliflower curry,,50
1 cup cucumber salad,,20
2 Roti / chapati,,100
Tomato subji 1/2 cup,,50
2 roti / chapathi,,100
Ladies finger subji 1/2 cup,,50
Broken wheat upma 1 cup,,150
1/2 cup green beans subji,,50
Wheat dosa 3,,200
1/2 cup Bitter guard subji,,50
2 Roti / chappathi,,150
Ridge guard subji 1/2 cup,,50
2 Roti / chappathi,,150
Ridge guard subji 1/2 cup,,50
Broken wheat upma 1 cup,,150
1/2 cup green beans subji,,50
3 chapathi,,150
1/2 cup bitter gourd sabji,,50
1/2 cup vegetable salad,,25
3 chapathi,,150
1/2 cup aloo baingan sabji,,50
1/2 cup vegetable salad,,25
3 chapathi (multigrain-wheat;jowar;bajra),,300
1/2 cup tinda sabji,,40
1/2 cup vegetable salad,,25
Bajra roti- 3,,150
1/2 cup green beans subji,,50
Fermented ragi dosa- 3,,200
Ridge guard subji 1/2 cup,,50
Jowar roti- 3,,150
Ladies finger subji 1/2 cup,,50
Rice dosa-3,,200
Potato masala 1/2 cup,,100
Buckwheat roti- 3,,150
1/2 cup green beans subji,,50
Pulav rice-1 cup,,200
1 cup cauliflower and potato vegetable,,150
2 chapatti,,100
salad,,50
1 cup peas and carrot vegetable,,100
2 chapatti,,150
salad,,50
1 cup cabbage and peas vegetable,,120
2 chapatti,,150
salad,,50
1 cup mushroom curry,,150
2 chapatti,,150
salad,,50
1 cup lotus stem vegetable,,120
2 chapatti,,150
salad,,50
1 cup brinjal vegetable,,100
2 chapatti,,150
salad,,50
1 cup dum aloo vegetable,,200
2 chapatti,,150
salad,,50
2 Chapati,,150
Chicken stew (1/2 cup),,200
2 Chapati,,150
Veg. Curry (1/2 cup),,150
1.5 cup rice,,300
1/2 cup rasam,,50
1/2 cup snake gourd sabji,,100
4 multigrain(ragi;wheat;bajra;jowar)roti,,200
1/2 cup egg bhurji,,150
1/2 cup beet root sabji,,100
1.5 cup rice,,300
1/2 cup methi buttermilk,,50
1/2 cup lauki sabji,,100
4 multigrain(ragi;wheat;bajra;jowar)roti,,200
1/2 cup ridge gourd sabji,,100
1/2 cup soya chunk andaloo,,200
1/2 cup rasam,,50
1/2 cup tinda sabji,,100
4 multigrain(ragi;wheat;bajra;jowar)roti,,200
1/2 cup raw banana curry,,120
1/2 cup cluster beans sabji,,100
1/2 cup methi buttermilk,,50
1/2 cup ivy gourd sabji,,100
3 roti,,150
1/2 cup ridge gourd sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup ivy gourd sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup bhindi sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup snake gourd sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup moolimethi sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup lauki sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
3 roti,,150
1/2 cup cauliflower sabji,,100
1/2 cup vegetable salad,,50
1 glass buttermilk,,100
Boiled Vegetable Puree (1/2 cup),,50
2 chapatti,,100
Ladies finger subji 1 cup,,150
2 chapatti,,100
Arhar dal 1 cup,,200
2 paneer stuffed capsicum,,250
2 chapatti,,100
2 chapatti,,100
1 cup mix veg curry,,150
2 chapatti,,100
Ridge guard subji 1 cup,,100
Chapati (2),,100
Bottle gourd curry (1/2 cup),,50
Cod Liver Oil (1 capsule)/ 2 white til laddoo,,50
Chapati (2),,100
Ridge gourd curry (1/2 cup),,50
2 white til laddoo,,240
Chapati (2),,100
Mix veg. curry (1/2 cup),,100
2 white til laddoo,,240
Chapati (2),,100
Snake gourd curry (1/2 cup),,50
Cod Liver Oil (1 capsule)/ 2 white til laddoo,,50
Chapati (2),,100
Baked Carrot n Beetroot (1/2 cup),,50
2 white til laddoo,,240
Chapati (2),,100
Spinach curry (1/2 cup),,50
Cod Liver Oil (1 capsule)/ 2 white til laddoo,,50
Chapati (2),,100
Baked Pumpkin (1/2 cup),,50
Cod Liver Oil (1 capsule),,10
2 white til laddoo,,240
3 chapathi/ 1 cup rice,,150
1/2 cup cauliflower sabji,,50
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,150
1/2 cup bhindi sabji,,30
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,300
lauki methi sabji,,100
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,300
1/2 cup palak sabji,,50
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,300
1/2 cup ridge gourd(thori) sabji,,50
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,300
1/2 cup raw banana sabji,,50
1 glass buttermilk,,100
3 chapathi/ 1 cup rice,,300
1/2 cup tinda sabji,,50
1 glass buttermilk,,100
3 roti/ 1 cup rice,,300
1/2 cup ridge gourd sabji,,50
3 roti/ 1 cup rice,,300
1/2 cup ivy gourd sabji,,50
1/2 cup vegetable salad,,50
3 roti/ 1 cup rice,,300
1/2 cup bhindi sabji,,50
1/2 cup vegetable salad,,50
3 roti/ 1 cup rice,,300
1/2 cup snake gourd sabji,,50
1/2 cup vegetable salad,,50
3 roti/ 1 cup rice,,300
1/2 cup moolimethi sabji,,50
1/2 cup vegetable salad,,50
3 roti/ 1 cup rice,,300
1/2 cup cauliflower sabji,,50
1/2 cup vegetable salad,,50
3 roti/ Chapathi,,150
Ladies finger subji 1/2 cup,,50
3 Roti / chappathi.,,150
Tomato subji 1/2 cup,,50
Wheat dosa 3,,200
1 cup Bitter guard subji,,100
Brocken wheat upma 1 cup,,150
1/2 cup green beans sub,,50
3 Roti/ chapati,,150
1/2 cup mix veg curry,,50
3 Roti / chappathi,,150
Ridge guard subji 1/2 cup,,50
3 roti/ 1 cup parboiled rice,,300
1/2 cup ridge gourd sabji,,50
1 glass buttermilk,,100
3 multi grain roti (jowar bajra wheat)/ 1 cup parboiled rice,,350
1/2 cup ivy gourd sabji,,50
1 glass buttermilk,,100
3 roti/ 1 cup parboiled rice,,300
1/2 cup bhindi sabji,,50
1 glass buttermilk,,100
3 multigrain roti (bajra oats ragi)/ 1 cup parboiled rice,,350
1/2 cup snake gourd sabji,,50
1 glass buttermilk,,100
3 roti/ 1 cup parboiled rice,,350
1/2 cup bittergourd sabji,,50
1 glass buttermilk,,100
3 multi grain roti (corn flour wheat oats)/ 1 cup parboiled rice,,400
1/2 cup lauki sabji,,50
1 glass buttermilk,,100
3 roti/ 1 cup parboiled rice,,350
1/2 cup cauliflower sabji,,50
1 glass buttermilk,,100
